age,monthly_charges,total_charges,tenure_months,monthly_usage_gb,customer_satisfaction,number_of_services,gender,contract_type,payment_method,internet_service,phone_service,streaming_tv,streaming_movies,churn,customer_lifetime_value
70.0,89.45897109581692,3329.634982265387,44.0,75.55002694413233,4,2,Male,monthly,Electronic check,Fiber optic,yes,No,No,yes,1097.23
20.0,58.571600627942395,,71.0,62.16858698802367,1,2,female,yearly,Credit card,fiber,Y,yes,Yes,no,3616.25
37.0,81.71012513507972,2458.7011519843177,34.0,63.27826269275825,4,2,Male,One year,Credit card,No,Y,yes,Yes,no,3035.61
43.0,81.87750386467849,5294.782217830325,55.0,28.859573545954277,1,4,male,Two year,Mailed check,Fiber optic,N,yes,no,no,4010.31
79.0,34.03453408457004,207.31449451304155,6.0,40.25430989210367,5,1,Male,Month-to-month,Electronic check,Fiber optic,Y,Yes,No,yes,100.0
31.0,60.902066056093695,3411.162470253565,58.0,67.18175201573754,3,2,Male,One year,Electronic check,None,Y,no,yes,no,2232.58
36.0,52.56809148897148,1951.6633652592013,40.0,63.39628691454908,10,3, , ,Bank transfer,None,No,Yes,No,yes,848.4
72.0,49.57649415099695,2444.4155994557923,47.0,85.53536813783693,7,1,male,monthly,credit,fiber,yes,Yes,no,no,3946.75
63.0,86.40039529567696,5109.384873593044,63.0,11.04745743370934,7,4,male,yearly,Credit card,DSL,Y,no,No,yes,1524.14
78.0,61.31548413945769,3475.5672060860725,56.0,6.755402075514951,3,1,male,monthly,Bank transfer,None,yes,yes,No,no,3679.81
55.0,100.00673418945706,4310.269612977131,45.0,63.47574634972961,9,3,M,monthly,Electronic check,DSL,Y,No,yes,no,4081.36
45.0,16.84272761109723,505.3772244823435,30.0,73.58142310152238,1,4,Male,Month-to-month,electronic,DSL,Yes,no,Yes,no,692.74
29.0,45.111576683835196,1607.7692516432573,37.0,37.89634282341986,4,1,Female,Month-to-month,electronic,No,No,No,yes,no,778.41
56.0,65.8509651598062,1429.1035345727669,24.0,36.12376362785817,2,2,Male,monthly,Bank transfer,DSL,N,No,no,yes,1324.9
72.0,105.94001313546963,8184.145683341885,65.0,86.64846038600786,9,1,M,monthly,Mailed check,DSL,no,Yes,Yes,no,3240.51
78.0,61.59601112243205,2503.544480022333,42.0,67.57965230389047,3,3,M,monthly,Bank transfer,DSL,Yes,No,yes,no,2734.47
59.0,77.67371063946119,5132.88824511856,66.0,105.76526656265287,2,2,Female,One year,electronic,DSL,Yes,No,yes,no,3059.97
67.0,76.5585645217066,4273.579045884529,58.0,100.02117657054043,10,1,Female,monthly,Electronic check,No,Y,no,yes,no,3244.04
27.0,34.71647489363085,2012.2777205903344,55.0,15.572650403626042,3,3,F,Two year,Electronic check,None,No,yes,Yes,no,1507.83
20.0,32.17638522265108,688.6124347762534,22.0,57.06955151801978,7,4,Male,yearly,Mailed check,Fiber optic,Yes,no,no,yes,100.0
66.0,60.51088079366025,1107.8254225004193,16.0,35.15929362490638,10,4,Male,Two year,Bank transfer,fiber,Y,No,No,no,1695.16
22.0,33.76311099969579,578.9326523336842,17.0,12.624337243052572,3,3,F,Two year,electronic,None,yes,Yes,No,no,1400.18
42.0,66.07661577427342,2066.5786760113574,30.0,29.241074132895946,9,2,Female,One year,electronic,None,N,yes,no,no,2796.21
35.0,76.82095729802002,5206.8114892109015,70.0,77.52553056129534,6,2,Female,,Bank transfer,dsl,Y,no,No,no,4758.55
37.0,29.616197557335674,231.39675909827903,7.0,45.20604092968375,6,4,Male,monthly,Electronic check,Fiber optic,Y,No,no,no,461.17
-22.0,-47.9616521411523,355.07492206172566,8.0,103.61245569194766,2,3,female,Month-to-month,electronic,fiber,Y,no,No,yes,100.0
77.0,75.09267241852103,361.278471860706,5.0,144.406096281967,5,2,F,yearly,credit,Fiber optic,no,No,Yes,yes,584.27
76.0,86.65029270845015,1960.1142338313114,26.0,45.71815374475374,9,3,M,Two year,Electronic check,fiber,yes,yes,Yes,no,3753.55
25.0,78.73204547739562,2536.1424167982855,36.0,81.03394362661811,5,4,M,Month-to-month,Bank transfer,dsl,No,no,No,no,3001.72
72.0,49.17393048133272,2393.787204072212,60.0,9.971887632190771,9,4,Female,yearly,Mailed check,DSL,yes,yes,no,no,2180.91
33.0,18.959246938255845,177.81499685136754,10.0,68.06525023969067,2,2,male,monthly,Mailed check,Fiber optic,Y,no,Yes,no,1112.11
22.0,71.80922513959186,68.51167109274482,1.0,51.240741704198314,9,1,female,Two year,credit,DSL,N,no,Yes,no,2876.76
41.0,32.324737152536514,922.5517147583538,33.0,57.5396562391811,1,4,female,Month-to-month,Electronic check,dsl,Y,Yes,Yes,no,1804.1
50.0,71.51471426057782,4086.264045379829,55.0,53.038411097359145,6,3,male,monthly,Mailed check,fiber,no,Yes,Yes,no,4592.03
46.0,76.47829987240343,5244.283039250537,61.0,44.06702081715638,3,4,Male,Month-to-month,electronic,dsl,Yes,No,yes,no,2838.82
60.0,41.030165249584854,3071.183181540082,70.0,45.64798001975654,8,3,female,monthly,Electronic check,No,yes,no,yes,no,2375.08
40.0,53.28867183522565,437.37084064184677,10.0,40.27245423800559,6,3,F,monthly,Electronic check,fiber,Yes,Yes,yes,yes,474.24
49.0,51.699135528545476,1611.8911845203338,27.0,10.57199160605419,3,3,Female,Month-to-month,Mailed check,dsl,Yes,no,no,yes,100.0
66.0,44.76169356617605,929.6558184712056,20.0,82.37106128992583,10,3,Female,monthly,Electronic check,dsl,N,no,yes,no,3337.26
32.0,72.46065783052576,1166.448557801568,19.0,37.8111938936252,3,1,M,Month-to-month,Mailed check,No,yes,No,yes,yes,100.0
79.0,14.94499233524138,367.55365172448177,30.0,77.85753034806983,1,1,M,yearly,credit,No,yes,No,Yes,no,1460.18
62.0,73.23464210977816,1877.9056898570004,26.0,29.839848400972848,10,4,female,Two year,electronic,fiber,N,Yes,No,no,1437.5
18.0,105.6089733528706,1815.144174223044,15.0,44.956985624979694,8,1,F,Two year,Bank transfer,DSL,Yes,yes,yes,no,3132.21
36.0,92.58639906974983,5814.93487954691,70.0,25.817310295393362,8,1,Male,Month-to-month,Bank transfer,fiber,N,Yes,Yes,no,3406.02
50.0,86.55742111654946,3059.6199740992147,41.0,0.0,1,4,male,Two year,Electronic check,DSL,N,no,yes,no,1780.8
19.0,36.06805096860555,615.4415836151111,19.0,51.08397036781589,3,3,Male,Two year,Electronic check,fiber,N,Yes,yes,no,2084.08
64.0,70.74917122913659,1344.4664765090995,19.0,34.990265439697396,3,2,male,Month-to-month,Bank transfer,None,Y,no,No,yes,100.0
72.0,98.05005928185908,2549.3278926328558,26.0,70.31454542460764,3,2,Female,One year,Mailed check,Fiber optic,yes,no,No,no,2832.28
54.0,70.3626215952822,289.0004353281682,5.0,71.69315478734427,3,4,Male,monthly,Electronic check,DSL,N,no,Yes,no,3220.49
20.0,39.90877924172325,1770.2616371596444,52.0,64.45024661802474,1,3,M,monthly,Electronic check,fiber,N,Yes,no,yes,100.0
66.0,43.06552698712317,2221.344468558137,48.0,60.899208523002414,5,1,female,monthly,Mailed check,DSL,Y,yes,No,yes,523.52
51.0,58.593089723424846,2726.577311247225,44.0,86.77708952761313,8,2,M,monthly,electronic,dsl,Y,No,Yes,no,1741.2
45.0,86.64371942328661,1852.2519280228162,26.0,59.29945905885766,8,4,Male,Month-to-month,credit,dsl,Yes,No,Yes,no,2871.82
43.0,49.77802363379131,1646.2684445227414,41.0,37.66510514500486,3,2,male,Month-to-month,electronic,None,Yes,yes,yes,no,3882.61
68.0,99.11586866891463,2577.748276229963,25.0,32.2415063978012,2,2,Male,monthly,Mailed check,None,no,Yes,No,yes,840.69
61.0,62.4801299979962,1826.458832907544,25.0,76.62750001156236,2,1,M,Month-to-month,Bank transfer,dsl,yes,no,No,yes,100.0
18.0,38.46981012531052,484.1393652226672,12.0,98.77238435299903,3,1,Female,monthly,electronic,fiber,Y,yes,No,yes,100.0
40.0,73.98935556894455,880.958803127308,13.0,42.40395033223073,4,1,Male,Month-to-month,Bank transfer,Fiber optic,yes,No,Yes,yes,233.81
79.0,51.14396824562463,2043.5122458664441,39.0,0.0,3,3,M,Two year,electronic,dsl,Y,Yes,Yes,no,2552.75
76.0,40.80534587425779,613.2187137161394,16.0,39.553095291703805,1,2,Male,monthly,Electronic check,fiber,No,No,no,no,1451.24
73.0,55.4285061697497,612.2491361745756,11.0,0.0,8,1,Female,One year,credit,DSL,Y,yes,no,no,2046.71
29.0,67.903954032108,4393.613369421319,63.0,45.63493360646678,6,2,Female,Month-to-month,electronic,dsl,Yes,No,yes,no,2363.97
75.0,61.282932097196095,1659.4127046680285,26.0,40.08122085452761,2,4,Female,monthly,credit,None,yes,No,No,yes,100.0
57.0,81.69709518400377,3039.679134048823,38.0,55.71801625898504,3,1,male,Month-to-month,Bank transfer,None,Y,no,Yes,yes,100.0
50.0,59.82575545238603,2439.162943205531,46.0,41.60819970222505,2,4,F,Two year,credit,Fiber optic,Yes,yes,Yes,no,3621.3
56.0,58.736730940087384,2369.122958498447,48.0,51.50585504276357,10,3,M,Month-to-month,Credit card,DSL,Y,no,No,yes,100.0
33.0,54.072068458991865,2655.412472121584,52.0,19.46875220816852,6,1,Female,Month-to-month,Mailed check,No,Y,no,Yes,no,1284.56
33.0,61.80710879429824,61.94708629109973,1.0,72.86108801221836,7,2,female,monthly,Electronic check,fiber,N,yes,No,yes,100.0
61.0,82.57872322936915,5203.521479693435,53.0,34.98328437851427,6,1,Male,yearly,credit,fiber,Y,Yes,yes,no,2428.05
